brand,model,car,type
alfa romeo,159,alfa romeo 159,0
audi,a1,audi a1,0
audi,a2,audi a2,0
audi,a3,audi a3,0
audi,q2,audi q2,0
bmw,116d,bmw 116d,0
bmw,216d,bmw 216d,0
bmw,216d active tourer,bmw 216d active tourer,0
bmw,216i,bmw 216i,0
bmw,218i,bmw 218i,0
bmw,218i active tourer,bmw 218i active tourer,0
byd,atto 3,byd atto 3,0
byd,b6,byd b6,0
byd,e6,byd e6,0
chevrolet,aveo,chevrolet aveo,0
chevrolet,cruze,chevrolet cruze,0
chevrolet,sonic,chevrolet sonic,0
citroen,c3,citroen c3,0
citroen,c4,citroen c4,0
citroen,c4 picasso,citroen c4 picasso,0
citroen,c5,citroen c5,0
citroen,ds5,citroen ds5,0
daihatsu,materia,daihatsu materia,0
ford,focus,ford focus,0
ford,mondeo,ford mondeo,0
honda,accord,honda accord,0
honda,airwave,honda airwave,0
honda,chv,honda chv,0
honda,city,honda city,0
honda,civic,honda civic,0
honda,cr-v,honda cr-v,0
honda,crossroad,honda crossroad,0
honda,fit,honda fit,0
honda,grace,honda grace,0
honda,hrv,honda hrv,0
honda,insight,honda insight,0
honda,shuttle,honda shuttle,0
honda,vezel,honda vezel,0
honda,vezel,honda vezel hybrid,0
hyundai,accent,hyundai accent,0
hyundai,avante,hyundai avante,0
hyundai,elantra,hyundai elantra,0
hyundai,i30,hyundai i30,0
hyundai,i40,hyundai i40,0
hyundai,ioniq,hyundai ioniq,0
hyundai,kona,hyundai kona,0
hyundai,tucson,hyundai tucson,0
hyundai,venue,hyundai venue,0
hyundai,verna,hyundai verna,0
kia,cerato,kia cerato,0
kia,cerato,kia cerato forte,0
kia,k3,kia forte k3,0
kia,k3,kia k3,0
kia,k5,kia k5,0
kia,magentis,kia magentis,0
kia,niro,kia niro,0
kia,niro,kia niro hybrid,0
kia,niro,kia niro plus,0
kia,optima,kia optima,0
kia,rio,kia rio,0
kia,seltos,kia seltos,0
kia,sonet,kia sonet,0
kia,sorento,kia sorento,0
kia,soul,kia soul,0
kia,stinger,kia stinger,0
kia,stonic,kia stonic,0
lexus,ct200,lexus ct200,0
lexus,ct200,lexus ct200h,0
lexus,is200t,lexus is200t,0
lexus,is250,lexus is250,0
lexus,nx200t,lexus nx200t,0
lexus,rx200t,lexus rx200t,0
lexus,rx350,lexus rx350,0
lexus,rx400h,lexus rx400h,0
lexus,rx450h,lexus rx450h,0
mazda,2,mazda 2,0
mazda,3,mazda 3,0
mazda,3,mazda 3 4-door sedan,0
mazda,3,mazda 3 mild hybrid,0
mazda,6,mazda 6,0
mazda,axela,mazda axela,0
mazda,cx-3,mazda cx-3,0
mazda,cx-30,mazda cx-30,0
mazda,cx-5,mazda cx-5,0
mazda,cx-8,mazda cx-8,0
mazda,3,mazda3,0
mazda,3,mazda3 4-door sedan,0
mercedes-benz,a180,mercedes a180,0
mercedes-benz,a180,mercedes benz a180,0
mercedes-benz,gla180,mercedes benz gla180,0
mg,5,mg 5,0
mg,5,mg mg5,0
mg,zs,mg zs,0
mg,zs,mg zs ev,0
mg,5,mg5,0
mg,5,mg5 strides,0
mini,cooper countryman,mini cooper countryman,0
mini,one,mini one 5dr,0
mitsubishi,asx,mitsubishi asx,0
mitsubishi,attrage,mitsubishi attrage,0
mitsubishi,colt,mitsubishi colt,0
mitsubishi,lancer,mitsubishi lancer,0
mitsubishi,mirage,mitsubishi mirage,0
mitsubishi,space star,mitsubishi space star,0
nissan,kicks,nissan kicks,0
nissan,latio,nissan latio,0
nissan,leaf,nissan leaf,0
nissan,murano,nissan murano,0
nissan,note,nissan note,0
nissan,note,nissan note hybrid,0
nissan,pulsar,nissan pulsar,0
nissan,qashqai,nissan qashqai,0
nissan,sunny,nissan sunny,0
nissan,sylphy,nissan sylphy,0
nissan,sylphy,nissan sylphy 1.6,0
nissan,teana,nissan teana,0
nissan,x-trail,nissan x-trail,0
opel,astra,opel astra hatchback,0
opel,crossland,opel crossland,0
opel,grandland,opel grandland,0
opel,insignia,opel insignia grand sport,0
opel,mokka,opel mokka,0
opel,mokka x,opel mokka x,0
perodua,axia,perodua axia,0
perodua,bezza,perodua bezza,0
peugeot,2008,peugeot 2008,0
peugeot,3008,peugeot 3008,0
peugeot,308,peugeot 308,0
renault,captur,renault captur,0
renault,fluence,renault fluence,0
renault,kadjar,renault kadjar,0
renault,latitude,renault latitude,0
renault,megane,renault megane,0
seat,arona,seat arona,0
seat,ateca,seat ateca,0
seat,ibiza,seat ibiza,0
seat,leon,seat leon,0
seat,tarraco,seat tarraco,0
seat,toledo,seat toledo,0
skoda,kamiq,skoda kamiq,0
skoda,karoq,skoda karoq,0
skoda,octavia,skoda octavia,0
skoda,scala,skoda scala,0
skoda,superb,skoda superb,0
ssangyong,tivoli,ssangyong tivoli,0
subaru,forester,subaru forester,0
subaru,impreza,subaru impreza,0
subaru,legacy,subaru legacy,0
subaru,levorg,subaru levorg,0
subaru,xv,subaru xv,0
suzuki,ciaz,suzuki ciaz,0
suzuki,swift,suzuki swift,0
suzuki,sx4,suzuki sx4,0
suzuki,sx4,suzuki sx4 s-cross,0
suzuki,vitara,suzuki vitara,0
toyota,allion,toyota allion,0
toyota,altis,toyota altis,0
toyota,aqua,toyota aqua,0
toyota,aqua,toyota aqua hybrid,0
toyota,axio,toyota axio,0
toyota,chr,toyota c-hr,0
toyota,chr,toyota c-hr hybrid,0
toyota,camry,toyota camry,0
toyota,chr,toyota chr,0
toyota,chr,toyota chr hybrid,0
toyota,corolla,toyota corolla altis,0
toyota,corolla,toyota corolla cross,0
toyota,corolla,toyota corolla fielder,0
toyota,cross,toyota cross,0
toyota,harrier,toyota harrier,0
toyota,premio,toyota premio,0
toyota,prius,toyota prius,0
toyota,prius,toyota prius c,0
toyota,prius,toyota prius hybrid,0
toyota,raize,toyota raize,0
toyota,rav4,toyota rav4,0
toyota,rush,toyota rush,0
toyota,vios,toyota vios,0
toyota,yaris,toyota yaris,0
volkswagen,golf,volkswagen golf,0
volkswagen,jetta,volkswagen jetta,0
volkswagen,passat,volkswagen passat,0
volkswagen,polo,volkswagen polo,0
volkswagen,tiguan,volkswagen tiguan,0
volvo,c30,volvo c30,0
volvo,s60,volvo s60,0
volvo,v40,volvo v40,0
volvo,v50,volvo v50,0
volvo,v60,volvo v60,0
volvo,v90,volvo v90,0
volvo,xc40,volvo xc40,0
volvo,xc60,volvo xc60,0
bmw,216d grand tourer,bmw 216d grand tourer,1
bmw,216i grand tourer,bmw 216i grand tourer,1
bmw,218i grand tourer,bmw 218i grand tourer,1
bmw,x5 6 seater,bmw x5 6 seater,1
chevrolet,orlando,chevrolet orlando,1
citroen,c4 picasso,citroen c4 grand picasso,1
citroen,c4 picasso,citroen c4 picasso,1
daihatsu,terious,daihatsu terios,1
ford,s-max,ford s-max,1
honda,freed,honda freed,1
honda,freed,honda freed hybrid,1
honda,jade,honda jade,1
honda,mobilio,honda mobilio,1
honda,odyssey,honda odyssey,1
honda,stepwagon,honda stepwagon,1
honda,stepwagon,honda stepwagon spada,1
honda,stream,honda stream,1
hyundai,santa fe,hyundai santa fe,1
kia,carens,kia carens,1
kia,carnival,kia carnival,1
kia,sorento,kia sorento,1
land rover,discovery,land rover discovery,1
